lemma,cl
윈도우/NOUN,1272
유가/NOUN,1273
유고슬라비아/NOUN,1274
유기/NOUN,1275
유나이티드/NOUN,1276
유대/NOUN,1277
유도/NOUN,1278
유동/NOUN,1279
유럽/NOUN,1280
유력/NOUN,1281
유명/NOUN,1282
유목/NOUN,1283
유목민/NOUN,1284
유사/NOUN,1285
유성/NOUN,1286
유엔/NOUN,1287
유적지/NOUN,1288
유전/NOUN,1289
유전자/NOUN,1290
유체/NOUN,1291
유통/NOUN,1292
유형/NOUN,1293
육군/NOUN,1294
육상/NOUN,1295
육체/NOUN,1296
융기/NOUN,1297
은하/NOUN,1298
은행/NOUN,1299
음/NOUN,1300
음반/NOUN,1301
음식/NOUN,1302
음악/NOUN,1303
음악가/NOUN,1304
응용/NOUN,1305
응원/NOUN,1306
응축/NOUN,1307
의견/NOUN,1308
의도/NOUN,1309
